YEAR,POLLUTANT,SHATIN,TSUEN WAN,CENTRAL,EASTERN,KWUN TONG,TUEN MUN,TUNG CHUNG,SHAM SHUI PO,SOUTHERN,YUEN LONG,CENTRAL/WESTERN,NORTH,KWAI CHUNG,TAP MUN,TSEUNG KWAN O,TAI PO,MONG KOK,CAUSEWAY BAY
2022,CO,N.A.,61,100,N.A.,N.A.,58,44,N.A.,44,68,N.A.,48,N.A.,51,42,N.A.,73,67
2022,FSP,13,14,18,13,14,18,14,12,12,16,14,14,15,12,13,14,16,21
2022,NO2,26,39,62,32,45,39,25,43,25,37,30,31,44,8,21,27,64,65
2022,NOX,34,56,132,N.A.,68,53,34,61,34,52,38,42,74,13,29,36,131,178
2022,O3,61,47,37,70,50,50,51,54,65,52,70,59,46,76,68,63,34,32
2022,RSP,21,22,27,23,24,32,23,25,24,25,22,23,23,20,22,21,26,34
2022,SO2,7,8,4,1,6,4,6,5,3,4,4,4,7,8,3,3,3,5
2023,CO,N.A.,59,56,N.A.,N.A.,58,47,N.A.,42,67,N.A.,48,N.A.,48,28,N.A.,64,59
2023,FSP,13,15,19,14,15,19,14,13,12,16,14,15,16,12,15,15,18,23
2023,NO2,27,40,63,32,41,40,26,43,26,37,32,30,50,8,22,27,68,67
2023,NOX,34,55,138,N.A.,60,53,37,61,35,52,40,41,81,14,30,35,131,182
2023,O3,60,47,34,69,50,53,51,51,66,52,66,61,46,73,68,62,38,35
2023,RSP,22,24,29,24,26,34,22,24,25,26,22,27,25,22,24,25,29,39
2023,SO2,3,5,4,2,5,3,5,4,4,6,3,3,6,4,3,2,5,5
